epoch,alpha,beta,gamma,tv,train_avg_loss,train_loss,train_nss,train_cc,train_kl,train_aucj,train_sauc,val_loss,val_nss,val_cc,val_kl,val_aucj,val_sauc
41,0.6230,0.0500,0.0100,0.0010,0.0948,0.0943,2.075,0.991,0.016,0.890,0.821,0.3881,1.810,0.841,0.282,0.860,0.775
42,0.6260,0.0500,0.0100,0.0010,0.0951,0.0963,2.062,0.991,0.017,0.889,0.821,0.3859,1.798,0.843,0.279,0.860,0.772
43,0.6290,0.0500,0.0100,0.0010,0.0951,0.0955,2.066,0.992,0.016,0.889,0.823,0.3921,1.791,0.843,0.284,0.859,0.773
44,0.6320,0.0500,0.0100,0.0010,0.0946,0.0932,2.082,0.992,0.014,0.890,0.823,0.3927,1.810,0.841,0.286,0.861,0.768
45,0.6350,0.0500,0.0100,0.0010,0.0947,0.0933,2.090,0.992,0.014,0.891,0.821,0.3955,1.811,0.843,0.288,0.860,0.770
46,0.6380,0.0500,0.0100,0.0010,0.0944,0.0940,2.080,0.992,0.014,0.890,0.821,0.3847,1.807,0.843,0.276,0.860,0.768
47,0.6410,0.0500,0.0100,0.0010,0.0947,0.0941,2.072,0.993,0.014,0.890,0.825,0.3850,1.796,0.844,0.276,0.860,0.775
48,0.6440,0.0500,0.0100,0.0010,0.0939,0.0927,2.096,0.993,0.013,0.891,0.824,0.3901,1.818,0.841,0.282,0.861,0.772
49,0.6470,0.0500,0.0100,0.0010,0.0938,0.0931,2.088,0.993,0.013,0.891,0.825,0.3911,1.811,0.842,0.282,0.860,0.775
50,0.6500,0.0500,0.0100,0.0010,0.0938,0.0949,2.073,0.993,0.013,0.891,0.824,0.3899,1.801,0.844,0.279,0.860,0.776
51,0.6530,0.0500,0.0100,0.0010,0.0952,0.0965,2.069,0.992,0.014,0.890,0.823,0.3917,1.785,0.842,0.279,0.859,0.773
52,0.6560,0.0500,0.0100,0.0010,0.0960,0.0964,2.071,0.992,0.014,0.890,0.823,0.3909,1.796,0.846,0.279,0.860,0.775
53,0.6590,0.0500,0.0100,0.0010,0.0956,0.0961,2.064,0.993,0.013,0.890,0.821,0.3886,1.785,0.843,0.276,0.859,0.776
54,0.6620,0.0500,0.0100,0.0010,0.0956,0.0948,2.081,0.993,0.013,0.891,0.826,0.3898,1.799,0.843,0.277,0.860,0.770
55,0.6650,0.0500,0.0100,0.0010,0.0951,0.0958,2.079,0.993,0.013,0.890,0.819,0.3880,1.806,0.843,0.276,0.860,0.771
56,0.6680,0.0500,0.0100,0.0010,0.0952,0.0946,2.091,0.994,0.012,0.891,0.823,0.3973,1.808,0.843,0.285,0.860,0.772
57,0.6710,0.0500,0.0100,0.0010,0.0945,0.0934,2.097,0.994,0.011,0.892,0.824,0.3923,1.812,0.842,0.280,0.860,0.773
58,0.6740,0.0500,0.0100,0.0010,0.0943,0.0936,2.099,0.994,0.011,0.892,0.824,0.3946,1.814,0.841,0.282,0.861,0.767
59,0.6770,0.0500,0.0100,0.0010,0.0938,0.0944,2.083,0.994,0.010,0.892,0.823,0.3895,1.800,0.843,0.275,0.860,0.773
60,0.6800,0.0500,0.0100,0.0010,0.0940,0.0948,2.087,0.994,0.011,0.891,0.826,0.3908,1.798,0.843,0.275,0.860,0.775
61,0.6830,0.0500,0.0100,0.0010,0.0951,0.0944,2.098,0.994,0.011,0.892,0.823,0.3940,1.807,0.842,0.279,0.861,0.766
62,0.6860,0.0500,0.0100,0.0010,0.0952,0.0962,2.089,0.994,0.012,0.891,0.824,0.3930,1.799,0.844,0.277,0.859,0.775
63,0.6890,0.0500,0.0100,0.0010,0.0962,0.0975,2.080,0.993,0.012,0.892,0.825,0.3921,1.798,0.841,0.276,0.860,0.775
64,0.6920,0.0500,0.0100,0.0010,0.0968,0.0962,2.104,0.994,0.012,0.892,0.823,0.3958,1.813,0.843,0.280,0.861,0.766
